,Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,pos_score,neg_score,obj_score,conv_pos,conv_neg,conv_pos(w=3),conv_neg(w=3),conv_pos(w=5),conv_neg(w=5),emo_flag
13753,13753,heart,heart,123.045,123.515,5.318904000156425,NOUN,9,2,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0
13754,13754,beat,beat,123.515,123.805,3.386422096080001,VERB,9,2,1,2,0.125,0.0,0.875,0.125,0.0,0.125,0.0,0.125,0.05,0
13755,13755,like,like,123.805,124.015,6.800971528784123,SCONJ,9,2,1,2,0.0,0.0,1.0,0.0625,0.0,0.0625,0.0,0.1,0.0,1
13756,13756,the,the,124.015,124.105,11.115800481137065,DET,9,3,1,2,0.0,0.0,1.0,0.03125,0.0,0.03125,0.0,0.075,0.0,0
13757,13757,heart,heart,124.105,124.455,5.318904000156425,NOUN,9,1,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0
13758,13758,of,of,124.455,124.525,10.576559568665022,ADP,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025,0.0,0
13759,13759,a,a,124.525,124.595,9.87220326249636,DET,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13760,13760,dying,dying,124.595,125.205,3.346072193534847,VERB,9,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13761,13761,bird,bird,125.205,125.725,3.668651236266944,NOUN,9,1,5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13762,13762,when,when,125.725,125.865,7.562213604926971,ADV,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13763,13763,shot,shot,125.865,126.195,3.970876648221856,VERB,9,3,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13764,13764,with,with,126.195,126.325,8.78902023454392,ADP,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13765,13765,a,a,126.325,126.405,9.87220326249636,DET,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13766,13766,rifle,rifle,126.405,126.873,2.445125779776156,NOUN,9,1,11,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13767,13767,he,he,127.487,127.572,8.557202055435473,PRON,9,4,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13768,13768,said,said,127.572,127.832,6.866599895560644,VERB,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13769,13769,to,to,127.832,127.982,10.106224294072677,ADP,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13770,13770,me,me,127.982,128.24200000000002,6.944665633002234,PRON,9,2,5,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13771,13771,i,i,128.97,129.045,8.500758884952813,PRON,9,2,2,2,0.0,0.25,0.75,0.0,0.25,0.0,0.25,0.0,0.25,0
13772,13772,m,am,129.045,129.125,5.700109069289892,AUX,9,2,1,2,0.0,0.0,1.0,0.0,0.125,0.0,0.125,0.0,0.2,0
13773,13773,glad,glad,129.125,129.435,3.532459534842635,ADJ,9,2,1,2,0.125,0.625,0.25,0.125,0.6875,0.125,0.6875,0.125,0.775,1
